forecast_step,weekday_date,random_walk_forecast,forecast_origin_date,forecast_origin_value,model_id,history_rows
1,2026-07-31,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
2,2026-08-03,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
3,2026-08-04,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
4,2026-08-05,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
5,2026-08-06,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
6,2026-08-07,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
7,2026-08-10,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
8,2026-08-11,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
9,2026-08-12,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
10,2026-08-13,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
11,2026-08-14,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
12,2026-08-17,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
13,2026-08-18,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
14,2026-08-19,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
15,2026-08-20,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
16,2026-08-21,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
17,2026-08-24,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
18,2026-08-25,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
19,2026-08-26,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
20,2026-08-27,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
21,2026-08-28,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
22,2026-08-31,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
23,2026-09-01,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
24,2026-09-02,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
25,2026-09-03,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
26,2026-09-04,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
27,2026-09-07,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
28,2026-09-08,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
29,2026-09-09,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
30,2026-09-10,1450.1,2026-07-30,1450.1,random_walk_last_observation,15405
